gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3821085693	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:K954	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Prosopis	Prosopis juliflora		SPECIES	Prosopis juliflora (Sw.) DC.	Prosopis juliflora	(Sw.) DC.	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.169736	-72.554343			83.0	0.0			2019-11-22T00:00:00	22	11	2019	5358460	5358460	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.455Z		
3821085692	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:M1309	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Guazuma	Guazuma ulmifolia		SPECIES	Guazuma ulmifolia Lam.	Guazuma ulmifolia	Lam.	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.16783	-72.552037			86.0	0.0			2019-11-21T00:00:00	21	11	2019	3152195	3152195	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.455Z		
3821085691	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:K951	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Cordiaceae	Cordia	Cordia dentata		SPECIES	Cordia dentata Poir.	Cordia dentata	J.L.M.Poiret	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.169664	-72.554468			83.0	0.0			2019-11-22T00:00:00	22	11	2019	5361859	5361859	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.456Z		
3821085690	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:K950	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Cordiaceae	Cordia	Cordia dentata		SPECIES	Cordia dentata Poir.	Cordia dentata	J.L.M.Poiret	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.169515	-72.554576			85.0	0.0			2019-11-22T00:00:00	22	11	2019	5361859	5361859	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.455Z		
3821085689	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:K948	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Cordiaceae	Cordia	Cordia dentata		SPECIES	Cordia dentata Poir.	Cordia dentata	J.L.M.Poiret	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.169504	-72.554603			85.0	0.0			2019-11-22T00:00:00	22	11	2019	5361859	5361859	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.455Z		
3821085688	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:M1304	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Cordiaceae	Cordia	Cordia dentata		SPECIES	Cordia dentata Poir.	Cordia dentata	J.L.M.Poiret	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.167816	-72.552001			86.0	0.0			2019-11-21T00:00:00	21	11	2019	5361859	5361859	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.453Z		
3821085687	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:M1308	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Senegalia	Senegalia polyphylla		SPECIES	Senegalia polyphylla (DC.) Britton & Rose	Senegalia polyphylla	Britton & Rose ex Britton & Killip	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.167837	-72.552045			86.0	0.0			2019-11-21T00:00:00	21	11	2019	2980360	2980360	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.454Z		
3821085686	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:T318	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Cordiaceae	Cordia	Cordia dentata		SPECIES	Cordia dentata Poir.	Cordia dentata	J.L.M.Poiret	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.165947	-72.542592			92.0	0.0			2019-11-19T00:00:00	19	11	2019	5361859	5361859	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.452Z		
3821085685	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:K949	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Cordiaceae	Cordia	Cordia dentata		SPECIES	Cordia dentata Poir.	Cordia dentata	J.L.M.Poiret	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.16951	-72.554584			85.0	0.0			2019-11-22T00:00:00	22	11	2019	5361859	5361859	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.454Z		
3821085684	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:M1306	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Libidibia	Libidibia punctata		SPECIES	Caesalpinia ebano H.Karst.	Caesalpinia ebano H. Karst.	H.Karst.	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.167809	-72.552013			86.0	0.0			2019-11-21T00:00:00	21	11	2019	2958487	3931553	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.454Z		
3821085683	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:M1305	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Anacardiaceae	Astronium	Astronium graveolens		SPECIES	Astronium graveolens Jacq.	Astronium graveolens	Jacq.	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.167796	-72.552005			86.0	0.0			2019-11-21T00:00:00	21	11	2019	7321588	7321588	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.453Z		
3821085682	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:K945	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Cordiaceae	Cordia	Cordia dentata		SPECIES	Cordia dentata Poir.	Cordia dentata	J.L.M.Poiret	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.169055	-72.554514			85.0	0.0			2019-11-22T00:00:00	22	11	2019	5361859	5361859	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.452Z		
3821085681	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:K946	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Prosopis	Prosopis juliflora		SPECIES	Prosopis juliflora (Sw.) DC.	Prosopis juliflora	(Sw.) DC.	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.169065	-72.554462			85.0	0.0			2019-11-22T00:00:00	22	11	2019	5358460	5358460	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.452Z		
3821085680	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:K947	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Cordiaceae	Cordia	Cordia dentata		SPECIES	Cordia dentata Poir.	Cordia dentata	J.L.M.Poiret	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.169378	-72.554704			85.0	0.0			2019-11-22T00:00:00	22	11	2019	5361859	5361859	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.452Z		
3821085679	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:K987	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia macracantha		SPECIES	Vachellia macracantha (Humb. & Bonpl. ex Willd.) Seigler & Ebinger	Vachellia macracantha	(Humb. & Bonpl. ex Willd.) Seigler & Ebinger	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.169735	-72.555157			86.0	0.0			2019-11-22T00:00:00	22	11	2019	3795445	3795445	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.452Z		
3821085678	fa5d6d5c-adf3-4395-9ef4-548cb318cc5a	CERREJON:CENSO-FORESTAL_BRUNO:M1346	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Senna	Senna atomaria		SPECIES	Senna atomaria (L.) H.S.Irwin & Barneby	Senna atomaria	(L.) H.S.Irwin & Barneby	CO	Arroyo Bruno	La Guajira	PRESENT	1	14fb9c57-68a5-4870-b434-5355df7a9c3c	11.167872	-72.552072			86.0	0.0			2019-11-22T00:00:00	22	11	2019	2957695	2957695	HUMAN_OBSERVATION	Carbones del Cerrejón Limited (Cerrejón)						CC_BY_NC_4_0		Claudia Calderon;Maribel Herrera Palma			2023-08-26T16:51:59.453Z		
